id	lemma	sense_id	left	word	right	senses
11	argument	4	This was the line already adopted by Binchy  ( 1984 )  who interpreted world - wide statistics in this direction .  Divorce was seen to be harder on the women than the men ,  who could get out of their family  responsibilities so much more easily with divorce than without it .  In opposing the	arguments	marshalled by the anti - divorce groups , the pro - divorce group argued that , despite the existence of divorce legislation in Northern Ireland , there was still a low divorce rate . The period of separation in undefended cases was two years ,  and five years had to run if one of the parties opposed the divorce .  That men in particular do not benefit from the procedures was suggested by the fact that twice as many women as men filed for divorce .	None
12	argument	4	One might be forgiven for thinking that the bishops letter had something to do with it and that Haughey was intent on constructing an alliance between those heeding the teaching of the hierarchy and the party faithful .  In early May ,  two - thirds of Fianna Fil TDs from the West had already indicated they would campaign in their constituencies against the amendment  (  Irish Times  ,  2 May 1986 )  .  The Woods ' speech also introduced an important new	argument	which may have had some considerable effect on Irish voters . It suggested that second marriages would substantially infringe the rights of inheritance of the members of the first family .  In a society of extremely strong rural ,  traditional values on rights of inheritance ,  the suggestions that constitutional Frankensteins would devour constitutional orphans  (  Dil Debates  ,  14 May 1986 )  were clearly calculated to raise a moral panic ,  having produced the appropriate folk - devils .	None
13	argument	4	The main grounds appeared to be  the danger which it might pose to the small Southern protestant minority by encouraging mixed marriages .  However ,  no evidence favouring such a contention has ever been produced .  Harry MacAdoo , then the Church of Ireland archbishop of Dublin , on several occasions put forward the	argument	that Southern protestants were a minority group with their own culture and traditions , and thus deserved to have schools for themselves in order to hand on their own traditions . When considering the merit of this argument ,  one does have to bear in mind the particularly precarious nature of the Southern protestant grouping .  Protestant opposition to integrated schooling is sometimes heard in the North ,  particularly from the fundamentalist camp ,  who not only fear catholic infiltration of state schools but are opposed to anything other than Bible protestantism in religious education .	None
14	argument	3	However ,  no evidence favouring such a contention has ever been produced .  Harry MacAdoo ,  then the Church of Ireland archbishop of Dublin ,  on several occasions put forward the argument that Southern protestants were a minority group with their own culture and traditions ,  and thus deserved to have schools for themselves in order to hand on their own traditions .  When considering the merit of this	argument	, one does have to bear in mind the particularly precarious nature of the Southern protestant grouping . Protestant opposition to integrated schooling is sometimes heard in the North ,  particularly from the fundamentalist camp ,  who not only fear catholic infiltration of state schools but are opposed to anything other than Bible protestantism in religious education .  But usually the opposite is the case and popular protestant support for integration is expressed .	None
15	argument	4	In the debates over the last twenty years there has been considerable interplay of theological and sociological reasoning ,  with social scientists also contributing to papers and discussions .  What has been seen as an aspect of the Roman catholic intellectual opposition to divorce in Chapter 5 can also be recognized as a feature of the defence of catholic schools too :  the opposition contains an interpretation of the moral nature of contemporary society and of what happens to catholics who are not to some degree protected from it .  In this writer 's view , the	arguments	against multi - denominational education and in favour of catholic schools support an overall political theology which is strongly based on authority within the church . Hierarchy and clergy are seen almost to monopolize the teaching and wisdom about life .  They are both directors of souls and minders of the public conscience .	None
16	argument	4	Put together with a faith vision of the contemporary social world as inherently secularist and radically subversive of Roman catholic values ,  the combination is significantly reactionary and ethnocentric .  The aspects of this political theology will be discussed later .  First it is necessary to consider the	arguments	used in the public debates . While the arguments of the defenders of catholic schools have a theological basis ,  those of the promoters of integrated schooling have been founded on what they see to be the results of the present system ,  namely a violent and destructive society .  But there has been some attempt also to undercut the basic level of the defenders '  case .	None
17	argument	4	Irish bishops have been well aware of Spencer 's   ( 1968 )  research .  Using traditional measures of religiosity ,  he has pointed out the apparent failure of English catholic schools to produce better catholics and fewer ex - catholics than state or  other schools ,  and has inferred the likelihood of the same for Irish schools .  Spencer 's	argument	has been banded about from time to time . This is not unnatural ,  as in the 1970s and early 1980s Spencer was at the Queen 's  University ,  Belfast ,  and an active member of the All Children Together Movement .  Support for this line of approach has been found in Greeley and Rossi 's   ( 1966 )  survey in the USA on the effectiveness of catholic schools .	None
18	argument	4	In the light of W. McCready 's  findings in another study that the religious behaviour of the father had a greater impact on children ,  Greeley considered the fact that catholic schools were having an increasing influence on men to be of significant importance for the future of Roman catholicism in the USA  ( 1976 :  1735 )  .  Clearly ,  the follow - up study was more favourable to the defenders of catholic schools than to opponents .  However , Greeley and Rossi 's work also has been used to uphold the defenders '	argument	that , though Roman catholic schools varied in their efficiency , they were certainly better than any possible alternative in terms of producing good Roman catholics . Thus ,  both sides have tended to use social scientific research to make statements in general about catholic schools which have been drawn from other countries and ,  therefore ,  beyond the cultural confines within which Irish catholic schools exist .  This is something  for which surveys ,  including that of Greeley and Rossi ,  are not and cannot be intended .	None
19	argument	5	There was nothing in the studies on the differences between individual catholic schools ,  either in terms of pupil experiences or the varieties of educational practice and personnel in each school .  A black - box approach to the schooling process was used with no direct investigation of processes within the schools .  Finally , while it could be argued that Greeley and Rossi tell us something of catholic versus state schooling in the US , they have nothing to tell us about catholic versus Christian , multi - denominational schools , which is what most of the	argument	in Ireland is about . But the central and substantive argument that defenders of Roman catholic schools have had to deal with is that the dual school system in Northern Ireland encourages ,  supports ,  or at least reinforces the sectarian divide ,  and that it forms part of the vicious circle maintaining conflict in Ulster .  It has been argued that one could help to break that circle by integrating the school system  ( Fraser 1974 ;  Heskin 1980 )  .	None
20	argument	4	A black - box approach to the schooling process was used with no direct investigation of processes within the schools .  Finally ,  while it could be argued that Greeley and Rossi tell us something of catholic versus state schooling in the US ,  they have nothing to tell us about catholic versus Christian ,  multi - denominational schools ,  which is what most of the argument in Ireland is about .  But the central and substantive	argument	that defenders of Roman catholic schools have had to deal with is that the dual school system in Northern Ireland encourages , supports , or at least reinforces the sectarian divide , and that it forms part of the vicious circle maintaining conflict in Ulster . It has been argued that one could help to break that circle by integrating the school system  ( Fraser 1974 ;  Heskin 1980 )  .  A small number of empirical studies actually done in Northern Ireland have been invoked in the course of the debate .	None
21	argument	4	Consequently ,  one has to improve relationships within Northern Ireland without trying to merge the entire school system .  However ,  curricular changes ,  joint teaching projects ,  and overall greater contact were seen necessary .  Roman catholic church leaders have used additional local studies to refute	arguments	which treat Roman catholic schools as part of the Northern problem . They have interpreted Salters 's  study of Belfast secondary schools as showing catholics to be less prejudiced than protestants .  Even if this were so ,  the implication has been made by catholic school supporters that catholic schools have not promoted or reinforced any measure of prejudice ,  and that no other possible type of school could improve on them  ( Daly 1975 )  .	None
22	argument	4	They have interpreted Salters 's  study of Belfast secondary schools as showing catholics to be less prejudiced than protestants .  Even if this were so ,  the implication has been made by catholic school supporters that catholic schools have not promoted or reinforced any measure of prejudice ,  and that no other possible type of school could improve on them  ( Daly 1975 )  .  Unfortunately , the necessary link to warrant this second conclusion a control group of catholics in a multi - denominational situation was simply not available to Salters , and so the	argument	is void . Use has also been made of Russell 's  work on the teaching of civics in Northern Ireland schools .  The work led Russell himself to conclude that the teaching of the subject had no effect whatsoever on pupils '  political outlook .	None
23	argument	2	Then all of a sudden ,  silence .  You keep waiting for more but it does n't come .  He works till lunch , then wanders into the kitchen and has long	argument	with Tony , or perhaps a discussion about the best way to cook trout or whether or not to sack the gardener . In the afternoon he starts by sleeping ,  then takes over the kitchen and insists on preparing extravagant five - course meals .  Had me take him into Salisbury to the oculist .	None
24	argument	5	I mean ,  I expect it 's  difficult to manage without harming them .  No  each lady had personally placed her cake on the long table  without assistance .  But then Mr Clancy and Mr Venables , who had been standing by to offer encouragement , had fallen into an	argument	concerning position . Mr Doran had moved his wife 's  cake to the first position ,  and Mr Clancy had moved it back to the middle ,  saying the first cake tasted had the best chance ,  and his wife 's  cake would be first as it had got there first .  Mr Venables disagreed and made some claim about tastebuds and their overstimulation .	None
25	argument	4	That Agatha Christie 's  reading was wide - ranging cannot now be denied ,  but ,  even so ,  the source of one of Hercule Poirot 's  favourite ploys  almost ,  it could be said ,  his trademark ,  the gathering together of the suspects at the climax of one of his investigations  is surprising .  It was only after extensive reading through the writings of many authors that I came across the work which undoubtedly gave the author this particular inspiration .  Here , from a late volume of The Scot Musical Museum , is the poem which clinches my	argument	. Though published anonymously ,  it is undoubtedly the work of Robert Burns :  CA ' THE BURGIES TAE THE BOGGIN CHORUS .	None
26	argument	4	I put Martha 's  apron on by accident this morning .  She 'd put a fifty - pound note in it and so she thought that it had been stolen .  When I found it , there was an	argument	and we went for each other. When did you discover your mistake   About the apron 	None
27	argument	5	However ,  if you are going to fly solo ,  refusing is the only sensible thing to do .  Flying demands all your concentration and it is not wise to risk flying if you have business worries or some other mental stress on your mind .  Even a violent	argument	will leave you mentally high and quite unfit to fly . You can also become unfit in the air through lack of food and drink .  Both these factors can cause lack of concentration and apathy .	None
28	argument	2	Traditionally in anthropology ,  the ethnographer has studied a social system or culture through a period of intensive participant observation in the field .  This has generated considerable concern about the ethnographic experience itself ,  and specifically about the subjective nature of the process .  Unlike the natural sciences , where discussion often starts with the results and ignores the methodology of the research , the social sciences and increasingly anthropology have developed an elaborate	argument	about the practices of doing research . The interpretation of culture and even the ability to understand what is happening in the society under scrutiny as well as the need to grapple with political or ethical questions are all endless and fundamental problems of the moment  ( Phillips 1973 :  78 )  .  Mere observation and reporting is inadequate ,  given the limited scope of things which can be truly observed  ( Holy 1984 :  25 )  .	None
29	argument	2	As social dirt they become an affront to purity and possess the danger of the contagious and impure  ( Douglas 1966 )  ,  requiring their removal from the public vision .  As yet there is no other body to undertake this task ,  and even tentative moves to remove the problem from the cell block and into the detoxification centre foundered in the entrepreneurial 1980s ;  for there is little immediate profit to be made from reclamation of this kind of scrap material  ( although the long - term value of a humanitarian return might be thought to be well worth pursuing in a civilized society !  )  .  The	argument	is therefore not about police control or a utopia without controls , but to explore why some cultural behaviour has a history of police action and to discover where that behaviour fits into police ideology . Its status or  ( as importantly )  its lack of value creates complex systems of meaning which are rarely articulated ;  for the police world has similar strictures to that which Benedict  ( 1967 )  described in her attempts to understand the rigidities of Japanese culture :  men who have accepted a system of values by which to live ,  cannot without courting in - efficiency and chaos keep for long a fenced - off portion of their lives where they think and behave according to a contrary set of values .	None
30	argument	4	to my senior command and in 1986 I informed my chief officers of the acceptance of my Ph.D .  thesis ,  in accordance with the directive laid down by Force Orders .  No one , of course , has asked to read it , for if my	argument	is correct the service has no need of any reminder of how the ideology works or how to implement the paradigms which support their cultural norms . Nor do they need their daily practice to be exposed to the analytic eye of anthropological thick description ,  for in their task - driven world there is little to be gained by reflecting on what they already live and understand .  Any need to analyse the ways in which the multi - variant police world forms a coherent and self - sustaining whole is material for the social scientist and not the practitioners ,  for they already live the system as a matter of course .	None
31	argument	4	A good proportion of our work concerned our availability to act as an unacknowledged arm of the social welfare service to drug users in crisis situations ,  providing a front - line service for the speed freaks who 's  OD 'd on the results of a bent script ,  or the acid heads having a bad trip ,  for we were in the streets ,  the pubs ,  the clubs ,  the crash pads ,  and communal houses frequented by the new alternative society .  Much of our daily work was ten years in advance of the official police community involvement programmes and yet our actions were only an extension of those social welfare activities the police have been heavily involved in for generations ,  but which are never given status as real police work simply because of the institutional emphasis placed upon summons lists ,  numbers of arrests ,  crime detections ,  and other statistical returns .  Many of our new counter - cultural deviants were articulate and presented very cogent	arguments	relating to their allegedly victimless crimes . For example ,  they would link their cannabis use and an alternative ideology or religious vision to challenge our somewhat static version of social reality .  Many of the underground at this period in social history were consciously making a journey towards a new spiritual growth ;  and this ,  as Furlong  ( 1973 :  106 )  suggests ,	None
32	argument	2	The Conversation Angus Cameron looked incredulous ,  permanently .  His friend James Menzies the wine merchant , in whose house he lodged , had said once , infuriated after a two - hour	argument	, Angus do you believe nothing completely  After thinking about it ,  Cameron replied ,  James ,  I was told a good thing once ,  by the sawyer at Bunarkaig .  I used to help there as a boy .	None
33	argument	4	Mrs Menzies had died five years before ,  killed by malaria and stomach trouble from their time in Bengal .  Menzies himself had a yellow face with a stained - looking flush on each cheekbone ,  and when he felt a bout of fever coming on ,  he drank to drown the symptoms .  Now he looked over at Cameron , taking stock of the quizzical lift of his right eyebrow when he looked out below his black fringe , the down - turn of his mouth under his long curved nose , and began to recapitulate his	argument	with care , uncomfortably aware that Angus might think he was trying not to sound drunk . Consider ,  Angus ,  he said .  They have seized the Session Books at Auchtergaven ,  and Kirkmichael ,  and Logierait ,  and  and many another place .	None
34	argument	4	He expected a few dozen people .  But the ranks and clusters of them stretched uncountably into the darkness .  He turned to James in amazement and saw that he was enjoying his surprise , as though it confirmed one of his	arguments	. Keen wafts of pine resin sharpened the air .  Torches were bubbling out flames and streaming smoke .	None
35	argument	2	He let his words trail off .  They all went over to the fire for plates of meat and bread .  In his mind Cameron continued the	argument	throughout the meal . He found in Byers a bracing scepticism like his own .  Yet speculation was actually fruitless now .	None
36	argument	4	With the weather holding .  There will be fewer to bring it in next year ,  when the listed men have gone .  Menzies brought out the familiar	argument	. They will settle for the devil they know .  Who does n't 	None
37	argument	2	Yes ,  urged .  By a show of force   By reasoned	arguments	concerning the hardship it would bring upon the district if some hundreds of the most able - bodied young men had to go . Mr Cameron ,  are you suggesting that your repeated speeches  and mind ,  we have abundant eye - witness testimony concerning them  contained no word about the driving out  of proprietors   Or of ministers and teachers 	None
38	argument	2	I had to adopt  the aspect of receptivity .  I was very receptive to the Bible ,  authority .  I was n't interested in	argument	, philosophy I took the simple biblical past Having no father I tried to capitalise  ( on his absence )  ,  resolve the Oedipal struggle ,   ( create )  good feelings .	None
39	argument	4	Since these states of affairs are of the essence of human perceptual consciousness and ,  therefore ,  of the human mind ,  it must follow that there are non - physical states of affairs essential to the human mind .  So a materialist theory of the mind is false .  The most primitive physicalist response to this	argument	is to deny the claim that there is anything about the mind that BS does not know . All that BS lacks is an ability to respond directly to stimuli of certain sorts :  V knows no more than BS ,  he can simply do something BS cannot .  BS is like a man who knows all about swimming ,  even to the point of being able to train the Olympic team ,  but who cannot swim himself ,  and V is the man with the normal talent for swimming .	None
40	argument	1	But this brings us back to the initial problem ,  which was precisely to explain how materialism could accommodate such a feel .  We cannot ,  therefore ,  leave it as an irreducible fact about different physical processes that they feel different .  In fact , the mode of access	argument	is ambiguous . It might be interpreted as saying that V has a mode of access to his own brain different from any modes of access to V 's  brain available to BS ;  or that V has a different mode of access to the external world ,  and that this constitutes the difference between him and BS .  It is impossible to deny that V has a different mode of access to the external world from BS ,  for V can see and BS cannot .	None
41	argument	4	It would make no sense to say that the dots in the picture had a Gestalt  of themselves ,  but to apply this model to the brain and experience would be just like that ;  for ,  if the experience just is  a state of the brain ,  then there is no way in which the character of the experience can be explained as the result of some perspective on  the brain .  Nor ,  more abstractedly ,  could it be the result of a perspective on the informational content of the brain ;  for ,  in either case ,  the perspective would have to be the occurrence of some further brain or informational state and to both of these the scientist has complete access ,  and the problem reoccurs .  If what I said above is correct , failure of the mode of access	argument	forces the materialist to deny that BS lacks any knowledge and to adopt a behaviourist theory . When a behaviourist approach is employed ,  it is not applied only to perception ,  but to all cognitive states .  Remembering that philosophers of the seventeenth and eighteenth century had already assimilated thought to perception ,  this is not surprising .	None
42	argument	0	First ,  an objector might try to press the fashionable distaste for the first - person perspective and say that the fact that I cannot apply the theory to myself shows nothing except that one should not approach the philosophy of mind via the first person .  A philosophical theory is essentially a reflection on a practice ,  and the first - person perspective expresses engagement in the practice :  to apply the theory first - personally is to confuse levels .  This is a spurious	argument	. A philosophical account gives the necessary and sufficient conditions  ( at least in outline form )  for the application of a concept ,  and it should ,  therefore ,  apply in principle to anything that is a case of that concept .  If it really is the case that all I am doing when I have beliefs about the world is to have dispositions to behave ,  then it ought to make sense for me to think of my believing in those terms .	None
43	argument	4	In showing that cognition as a whole cannot be treated behaviouristically ,  I have not thereby shown that a behaviouristic treatment of sense - experience is false .  So perhaps my overkill misses the target :  perhaps the behaviourist analysis of perception is sound ,  even though a general behaviourism is not ,  and what BS lacks is not knowledge of the nature of certain mental states ,  but only the ability to respond spontaneously to visual stimuli ,  that is ,  to respond as a result of actually seeing them .  Reflection on the nature of the	argument	refutes the behaviourist treatment of perception in particular . That argument showed that knowledge of the external world cannot be reduced to behavioural dispositions ,  for the very idea of a disposition functions only in the context of an unreduced grasp on the physical world .  But there is nowhere else that we might get our conception of the physical world from ,  other than perception .	None
44	argument	4	There are ,  though ,  a host of reasons for resisting any kind of equation between mental representations and mental pictures ;  and all of these derive from one fundamental reason .  Any mental picture will require interpretation ,  and this interpretation will be another mental operation ,  which ,  on the view that thinking is having mental pictures ,  will be another picture ,  which itself will require interpretation ,  and so on and so on .  This may look like an easy knock - down	argument	against a silly theory which nobody has ever seriously held : but what is true of mental pictures would seem to be true of any kind of mental representing process which encodes sensations in some determinate form . In other words ,  the argument works equally against the view that we think in a kind of mental language ,  that mental sentences rather than mental pictures are the stuff of thought .  Sentences and words also require interpretation  indeed they would seem to require this more obviously than pictures  and so we 're back on the circle of infinite regress .	None
45	argument	4	Well how do I know  that this computer does not have a theory of the external world   I have no argument ,  an objector would say ,  just a prejudice .  Well , I think that there is an	argument	of sorts for saying that a computer of the kind described does not have a theory of the external world , does not have mental states which refer , and does not therefore have thoughts in any significant sense . There is representation in a language but no knowledge ,  and therefore no thought in the human sense .  We should attend to the fact that knowledge of the external world means representing a lot of facts at once ,  so many facts that we lose hold of the idea of representation .	None
46	argument	1	But this is a fairly repugnant conclusion to most of us .  Do we really want to say that all we ever learn we knew before  even if we are  saying this in some technical computational sense   How about a more modest version of the	argument	which says that only certain primitive concepts are innate ( about three - dimensionality , causal relations , etcetera ) , and that the more sophisticated concepts develop out of these through the time - honoured processes of differentiating finer concepts from global ones and integrating the results into complex , structured concepts . This is not much help because  ( a )  later - developing concepts must still on the representational theory of the mind  be present in these primitive concepts  ( there are no merely potential competences  such as my potential but non - existing competence to know Portuguese )  ;  and  ( b )  how and where do we draw the line between the primitive concepts and the developed ones   Predictably ,  perhaps ,  I regard this argument not as a demonstration that the acquisition of new concepts is impossible ,  but as another reductio ad absurdum  of the representational theory of the mind .	None
47	argument	4	Constructivism and development The constructivist theory of mind regards thinking on an analogy with action ;  just as the representation theory takes an analogy with drawing and writing .  Moreover , to the same extent that the representational theory is non - developmental ( recall the Fodor 's	argument	against learning ) , the constructivist theory is developmental . I would not say that the developmental view is a consequence of the thoughtaction analogy exactly ,  because there could be constructivist theories that do not mention development .  It is certain ,  though ,  that the constructivism that has received the most attention in psychology and philosophy has been the developmental theory of Jean Piaget .	None
48	argument	4	So why not say ,  then ,  that in development perception teaches action ,  that as the information delivered up by the input systems becomes progressively richer the infant becomes better able to direct his own movements ,  rather than saying that cognisance develops out of action   My answer to this point will be more philosophical than empirical .  It will rely upon an	argument	from Kant . In the Critique of Pure Reason  ,  Kant 's  aim was to show how objective experience is possible ,  to set out the conditions necessary for this ;  whilst Piaget 's  aim was to show ,  given certain Kantian assumptions ,  how objective experience  actually develops .  One of the conditions for ascribing to oneself experiences of a mind - independent reality ,  Kant argued ,  was that we should be capable of distinguishing between those sequences of perceptions  ( if you like ,  representations delivered up by the input systems )  which are determined by the movement of objects and those which are determined by our own movements .	None
49	argument	1	Autism is a very profound cognitive deficit indeed ,  and everything that I have said up to now entails that a person whose thinking significantly lacks an holistic character ,  and lacks the related qualities of directedness ,  inhibition and co - ordination ,  will be profoundly affected .  Coda We have covered a lot of ground , and maybe the path through the undergrowth of	arguments	and data is not a very straight or a very clear one . I certainly would not want to attempt a summary of the route we have taken all the way from the mind - body problem to children trying to win chocolates ;  but I do need to make some concluding comments to justify the bold claim in the first paragraph that constructivism makes the mind - body problem less intractable .  I argued that the representational theory of mind ,  with its assumption that thinking is the possession of determinate mental states which are in some sense encodings  ( pictorial ,  syntactic )  of actual or possible states of affairs ,  contributes to the difficulty of the mind - body problem .	None
50	argument	2	I How might such states be both mental and physical at the same time   We do not want to say that one kind of state causes the other kind ,  but neither does it make much sense to say that they are parallel or identical .  There are	arguments	for all possible positions , but none of them convinces us for long ( see chapters 1 and 5 ) . Recall that constructivism refers only to mental representations at  the level of the input systems ,  as entities which can be translated ,  more or less directly ,  into the language of neuropsychology .  ( It refuses to take seriously the claim that central - system processes  -  thinking  are explicable in terms of the causal interplay of representations .  )	None
51	argument	4	Most ,  perhaps all ,  functionalists are thorough - going materialists who believe that mental phenomena are genuine physical  phenomena seen at a particular level of abstraction .  This commitment to materialism means that a couple of standard dualist objections must be faced .  First , there is the dualist 's	argument	that mental processes cannot be physical processes because physical entities such as neurons - lack certain qualities such as intentionality or consciousness that characterize the mental . The response to this is that intentionality and consciousness are emergent properties  of physical systems .  Neurons do not individually have the property of consciousness ,  consciousness emerges when a large number of neurons are interacting in the right kind of way ;  just as speed  is a property not of any single component of a car ,  but an emergent property of the whole system  when it is operating in an appropriate way .	None
52	argument	4	Furthermore ,  the work of Young and his colleagues ,  which I shall be discussing later in the chapter ,  shows that being aware of the operations of ,  say ,  one 's  face processing system has vitally important functional consequences .  However ,  the functionalist view is that it would be quite misguided to attempt to explain behaviour by making direct reference to the subjective  or phenomenal  qualities  ( technically known as qualia  )  of these mental states .  If it is really necessary to think of mental states as having qualitative content ( and see Dennett , 1988 , for some powerful	arguments	that it is not ) , then it follows from functionalism that such qualia do not have causal interactions with other mental states or behaviour and are mere epiphenomena . Successful Science The sceptic might ,  at this point ,  complain that while I may have sketched out the functionalist position ,  I have not provided any convincing arguments as to why one should believe it .	None
53	argument	4	If it is really necessary to think of mental states as having qualitative content  ( and see Dennett ,  1988 ,  for some powerful arguments that it is not )  ,  then it follows from functionalism that such qualia do not have causal interactions with other mental states or behaviour and are mere epiphenomena .  Successful Science The sceptic might , at this point , complain that while I may have sketched out the functionalist position , I have not provided any convincing	arguments	as to why one should believe it . What I now want to suggest is that there is a lot of very successful science currently being conducted which literally depends on functionalism being true .  If functionalism is false ,  then the success of the cognitive sciences is a massive scientific fluke .	None
